defense,clean_recall@1,clean_recall@5,clean_recall@10,adversarial_recall@1,adversarial_recall@5,adversarial_recall@10
clean,0.92578125,0.998046875,0.96875,0.92578125,0.998046875,0.96875
adversarial,0.0751953125,0.2451171875,0.3515625,0.0751953125,0.2451171875,0.3515625
CP Final Norm (alpha=0.1),0.109375,0.306640625,0.4248046875,0.109375,0.306640625,0.4248046875
CP Final Norm (alpha=0.2),0.109375,0.3056640625,0.419921875,0.109375,0.3056640625,0.419921875
CP Final Norm (alpha=0.3),0.1064453125,0.3056640625,0.4208984375,0.1064453125,0.3056640625,0.4208984375
CP Final Norm (alpha=0.4),0.1015625,0.302734375,0.41796875,0.1015625,0.302734375,0.41796875
CP Final Norm (alpha=0.5),0.1015625,0.30078125,0.412109375,0.1015625,0.30078125,0.412109375
CP Final Norm (alpha=0.6),0.0947265625,0.294921875,0.3994140625,0.0947265625,0.294921875,0.3994140625
CP Final Norm (alpha=0.7),0.091796875,0.287109375,0.3916015625,0.091796875,0.287109375,0.3916015625
CP Final Norm (alpha=0.8),0.0849609375,0.2744140625,0.3818359375,0.0849609375,0.2744140625,0.3818359375
CP Final Norm (alpha=0.9),0.078125,0.2607421875,0.3662109375,0.078125,0.2607421875,0.3662109375
